created_at,temperature,moisture,humidity
2024-10-07T04:30:00,21.03,362,65.32
2024-10-07T04:33:00,22.05,440,78.31
2024-10-07T04:36:00,23.26,435,77.65
2024-10-07T04:39:00,20.66,440,75.93
2024-10-07T04:42:00,22.44,467,74.38
2024-10-07T04:45:00,23.6,439,66.11
2024-10-07T04:48:00,22.68,470,73.9
2024-10-07T04:51:00,22.94,333,73.65
2024-10-07T04:54:00,22.29,360,75.85
2024-10-07T04:57:00,23.16,380,67.15
2024-10-07T10:00:00,21.44,373,65.98
2024-10-07T10:03:00,22.03,361,77.3
2024-10-07T10:06:00,21.96,452,77.02
2024-10-07T10:09:00,22.0,356,76.93
2024-10-07T10:12:00,21.7,333,66.76
2024-10-07T10:15:00,23.61,345,67.86
2024-10-07T10:18:00,21.33,415,76.37
2024-10-07T10:21:00,20.01,406,69.23
2024-10-07T10:24:00,22.59,377,70.55
2024-10-07T10:27:00,22.72,455,69.35
2024-10-07T10:30:00,21.42,352,75.11
2024-10-07T10:33:00,21.11,368,75.97
2024-10-07T10:36:00,22.29,383,67.38
2024-10-07T10:39:00,21.49,355,77.28
2024-10-07T10:42:00,23.39,385,68.39
2024-10-07T10:45:00,20.11,351,70.61
2024-10-07T10:48:00,20.72,355,69.04
2024-10-07T10:51:00,23.86,464,79.43
2024-10-07T10:54:00,23.72,428,69.61
2024-10-07T10:57:00,21.36,388,71.29
2024-10-07T17:30:00,22.26,408,68.61
2024-10-07T17:33:00,21.91,470,66.95
2024-10-07T17:36:00,21.43,347,69.01
2024-10-07T17:39:00,22.98,365,78.46
2024-10-07T17:42:00,23.03,356,73.1
2024-10-07T17:45:00,21.87,346,79.63
2024-10-07T17:48:00,21.57,380,79.96
2024-10-07T17:51:00,22.07,372,77.85
2024-10-07T17:54:00,21.75,362,72.28
2024-10-07T17:57:00,20.67,439,77.06
2024-10-07T18:00:00,31.14,430,67.61
2024-10-07T18:03:00,26.1,424,68.67
2024-10-07T18:06:00,26.53,479,64.18
2024-10-07T18:09:00,29.17,362,69.99
2024-10-07T18:12:00,31.53,476,68.44
2024-10-07T18:15:00,30.22,379,72.87
2024-10-07T18:18:00,31.13,411,69.18
2024-10-07T18:21:00,26.02,425,66.06
2024-10-07T18:24:00,27.35,428,62.25
2024-10-07T18:27:00,27.82,477,64.83
2024-10-07T23:00:00,22.52,410,76.51
2024-10-07T23:03:00,23.25,336,74.76
2024-10-07T23:06:00,23.36,381,65.63
2024-10-07T23:09:00,23.28,451,76.36
2024-10-07T23:12:00,22.3,418,76.72
2024-10-07T23:15:00,20.68,374,74.86
2024-10-07T23:18:00,20.68,324,65.15
2024-10-07T23:21:00,23.37,398,73.28
2024-10-07T23:24:00,23.88,425,78.18
2024-10-07T23:27:00,23.7,326,65.44
2024-10-07T23:30:00,20.75,393,68.82
2024-10-07T23:33:00,20.35,443,70.26
2024-10-07T23:36:00,23.82,396,77.11
2024-10-07T23:39:00,23.15,433,77.1
2024-10-07T23:42:00,22.52,410,68.45
2024-10-07T23:45:00,20.26,421,72.06
2024-10-07T23:48:00,20.44,459,68.65
2024-10-07T23:51:00,21.31,459,72.97
2024-10-07T23:54:00,20.39,354,76.16
2024-10-07T23:57:00,20.13,396,67.06
2024-10-08T04:00:00,20.77,353,74.5
2024-10-08T04:03:00,22.9,455,70.22
2024-10-08T04:06:00,23.15,394,79.49
2024-10-08T04:09:00,20.97,385,73.09
2024-10-08T04:12:00,22.82,395,69.88
2024-10-08T04:15:00,22.67,424,76.81
2024-10-08T04:18:00,21.0,457,75.39
2024-10-08T04:21:00,20.41,353,72.3
2024-10-08T04:24:00,21.06,443,79.64
2024-10-08T04:27:00,23.73,392,71.66
2024-10-08T04:30:00,20.82,436,71.74
2024-10-08T04:33:00,23.01,445,69.63
2024-10-08T04:36:00,22.68,340,73.98
2024-10-08T04:39:00,22.1,462,70.79
2024-10-08T04:42:00,22.96,347,75.59
2024-10-08T04:45:00,23.33,347,79.8
2024-10-08T04:48:00,21.42,416,75.58
2024-10-08T04:51:00,21.93,414,79.33
2024-10-08T04:54:00,22.18,469,69.2
2024-10-08T04:57:00,21.34,412,77.74
2024-10-08T10:00:00,20.03,458,69.41
2024-10-08T10:03:00,21.74,343,78.4
2024-10-08T10:06:00,23.5,333,73.36
2024-10-08T10:09:00,20.2,380,66.73
2024-10-08T10:12:00,23.74,430,71.85
2024-10-08T10:15:00,21.28,354,75.5
2024-10-08T10:18:00,20.55,443,79.52
2024-10-08T10:21:00,23.36,368,68.09
2024-10-08T10:24:00,20.87,376,79.87
2024-10-08T10:27:00,23.72,325,71.29
2024-10-08T10:30:00,20.47,427,65.3
2024-10-08T10:33:00,20.07,398,66.29
2024-10-08T10:36:00,20.61,386,72.7
2024-10-08T10:39:00,23.6,409,75.89
2024-10-08T10:42:00,21.06,346,67.15
2024-10-08T10:45:00,22.41,332,66.61
2024-10-08T10:48:00,21.67,360,66.02
2024-10-08T10:51:00,21.82,447,78.28
2024-10-08T10:54:00,21.48,348,73.23
2024-10-08T10:57:00,20.58,400,79.19
2024-10-08T17:30:00,23.45,351,72.38
2024-10-08T17:33:00,22.69,434,74.51
2024-10-08T17:36:00,21.14,402,71.71
2024-10-08T17:39:00,21.4,366,77.19
2024-10-08T17:42:00,21.56,458,66.99
2024-10-08T17:45:00,23.19,386,72.61
2024-10-08T17:48:00,23.11,350,69.2
2024-10-08T17:51:00,23.03,364,65.68
2024-10-08T17:54:00,22.52,371,74.93
2024-10-08T17:57:00,23.13,448,74.82
2024-10-08T18:00:00,26.85,473,74.0
2024-10-08T18:03:00,26.62,407,73.36
2024-10-08T18:06:00,27.41,360,62.29
2024-10-08T18:09:00,30.44,364,64.01
2024-10-08T18:12:00,28.72,440,63.06
2024-10-08T18:15:00,28.82,365,64.62
2024-10-08T18:18:00,27.28,363,63.28
2024-10-08T18:21:00,30.2,454,71.1
2024-10-08T18:24:00,30.07,475,68.07
2024-10-08T18:27:00,28.19,438,66.45
2024-10-08T23:00:00,22.13,400,74.03
2024-10-08T23:03:00,20.27,343,78.52
2024-10-08T23:06:00,22.6,429,70.76
2024-10-08T23:09:00,23.27,444,67.12
2024-10-08T23:12:00,22.56,397,65.21
2024-10-08T23:15:00,22.35,384,72.34
2024-10-08T23:18:00,22.67,335,77.43
2024-10-08T23:21:00,21.04,463,76.78
2024-10-08T23:24:00,20.87,406,75.07
2024-10-08T23:27:00,21.55,456,73.74
2024-10-08T23:30:00,20.99,444,69.45
2024-10-08T23:33:00,20.48,468,67.06
2024-10-08T23:36:00,21.13,435,77.79
2024-10-08T23:39:00,20.42,323,65.1
2024-10-08T23:42:00,20.91,361,77.61
2024-10-08T23:45:00,22.18,445,69.59
2024-10-08T23:48:00,20.28,406,65.2
2024-10-08T23:51:00,22.04,395,65.09
2024-10-08T23:54:00,22.66,426,71.75
2024-10-08T23:57:00,23.16,454,74.09
2024-10-09T04:00:00,23.39,451,72.23
2024-10-09T04:03:00,23.33,322,66.74
2024-10-09T04:06:00,22.41,352,76.68
2024-10-09T04:09:00,23.11,411,68.14
2024-10-09T04:12:00,23.39,326,79.31
2024-10-09T04:15:00,23.92,414,69.12
2024-10-09T04:18:00,23.27,343,72.44
2024-10-09T04:21:00,22.76,425,71.73
2024-10-09T04:24:00,23.99,462,65.12
2024-10-09T04:27:00,22.82,431,73.4
2024-10-09T04:30:00,22.2,389,66.28
2024-10-09T04:33:00,21.2,439,72.54
2024-10-09T04:36:00,23.01,336,79.45
2024-10-09T04:39:00,21.87,337,69.09
2024-10-09T04:42:00,22.42,406,71.32
2024-10-09T04:45:00,20.77,423,66.92
2024-10-09T04:48:00,23.39,455,70.45
2024-10-09T04:51:00,23.34,416,70.9
2024-10-09T04:54:00,20.46,460,70.74
2024-10-09T04:57:00,21.36,404,75.6
2024-10-09T10:00:00,23.34,327,66.59
2024-10-09T10:03:00,20.57,461,66.47
2024-10-09T10:06:00,23.01,422,76.23
2024-10-09T10:09:00,21.08,451,70.3
2024-10-09T10:12:00,21.63,424,70.66
2024-10-09T10:15:00,23.78,467,72.23
2024-10-09T10:18:00,22.19,409,70.31
2024-10-09T10:21:00,21.68,333,77.87
2024-10-09T10:24:00,23.82,388,74.68
2024-10-09T10:27:00,22.33,337,73.07
2024-10-09T10:30:00,22.16,344,76.25
2024-10-09T10:33:00,23.78,334,73.74
2024-10-09T10:36:00,20.35,448,75.86
2024-10-09T10:39:00,20.77,348,73.72
2024-10-09T10:42:00,23.41,463,78.05
2024-10-09T10:45:00,20.26,461,78.24
2024-10-09T10:48:00,23.53,436,65.83
2024-10-09T10:51:00,22.89,394,67.94
2024-10-09T10:54:00,20.82,461,75.9
2024-10-09T10:57:00,22.19,437,75.34
2024-10-09T17:30:00,21.6,436,68.84
2024-10-09T17:33:00,20.04,335,74.06
2024-10-09T17:36:00,22.96,326,70.38
2024-10-09T17:39:00,22.29,334,70.63
2024-10-09T17:42:00,21.1,462,67.17
2024-10-09T17:45:00,20.93,427,69.16
2024-10-09T17:48:00,22.17,410,73.38
2024-10-09T17:51:00,21.62,370,66.96
2024-10-09T17:54:00,20.96,355,73.83
2024-10-09T17:57:00,20.25,412,67.05
2024-10-09T18:00:00,27.28,468,63.8
2024-10-09T18:03:00,31.3,462,73.25
2024-10-09T18:06:00,31.04,382,64.31
2024-10-09T18:09:00,28.62,461,66.5
2024-10-09T18:12:00,30.02,499,60.25
2024-10-09T18:15:00,29.48,462,69.26
2024-10-09T18:18:00,28.21,369,64.49
2024-10-09T18:21:00,29.54,411,70.81
2024-10-09T18:24:00,27.99,396,73.74
2024-10-09T18:27:00,27.73,364,65.69
2024-10-09T23:00:00,23.53,331,70.12
2024-10-09T23:03:00,20.1,424,78.88
2024-10-09T23:06:00,23.96,342,65.7
2024-10-09T23:09:00,20.88,462,74.59
2024-10-09T23:12:00,20.36,451,78.54
2024-10-09T23:15:00,21.42,360,75.94
2024-10-09T23:18:00,23.87,369,68.62
2024-10-09T23:21:00,21.74,321,74.51
2024-10-09T23:24:00,20.17,356,74.28
2024-10-09T23:27:00,23.38,437,67.15
2024-10-09T23:30:00,21.01,404,77.02
2024-10-09T23:33:00,23.42,447,74.43
2024-10-09T23:36:00,22.28,351,65.46
2024-10-09T23:39:00,22.96,428,74.86
2024-10-09T23:42:00,23.87,406,69.83
2024-10-09T23:45:00,22.17,348,67.52
2024-10-09T23:48:00,20.03,407,79.43
2024-10-09T23:51:00,20.01,438,76.57
2024-10-09T23:54:00,20.13,386,68.67
2024-10-09T23:57:00,21.41,433,70.27
2024-10-10T04:00:00,20.44,464,65.01
2024-10-10T04:03:00,23.32,379,70.48
2024-10-10T04:06:00,21.47,415,71.64
2024-10-10T04:09:00,20.56,349,76.28
2024-10-10T04:12:00,22.16,383,69.7
2024-10-10T04:15:00,20.58,362,71.01
2024-10-10T04:18:00,22.9,466,69.64
2024-10-10T04:21:00,22.18,344,68.46
2024-10-10T04:24:00,23.7,361,73.6
2024-10-10T04:27:00,20.47,378,65.82
2024-10-10T04:30:00,21.94,362,74.37
2024-10-10T04:33:00,23.06,406,73.84
2024-10-10T04:36:00,23.25,355,72.73
2024-10-10T04:39:00,22.42,339,75.47
2024-10-10T04:42:00,23.25,369,70.61
2024-10-10T04:45:00,23.25,399,77.99
2024-10-10T04:48:00,23.2,450,77.13
2024-10-10T04:51:00,20.11,399,68.83
2024-10-10T04:54:00,20.56,336,79.02
2024-10-10T04:57:00,22.16,418,76.27
